id,collection,dc.contributor.author[],dc.date.accessioned[],dc.date.available[],dc.date.issued[],dc.description.abstract[es_MX],dc.description.provenance[en],dc.format[es_MX],dc.identifier.uri[],dc.language.iso[es_MX],dc.subject[es_MX],dc.title[es_MX],dc.type[es_MX]
8c552690-095e-4ebd-8614-4d3b7c812cd3,20.500.11972/1377,Universidad de Montemorelos,2021-08-11T23:33:52Z,2021-08-11T23:33:52Z,1979,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-08-11T23:33:52Z
No. of bitstreams: 1
Anuario vida estudiantil 1979.pdf: 91879120 bytes, checksum: a5b3ff659615319c0126864a0ea25068 (MD5)||Made available in DSpace on 2021-08-11T23:33:52Z (GMT). No. of bitstreams: 1
Anuario vida estudiantil 1979.pdf: 91879120 bytes, checksum: a5b3ff659615319c0126864a0ea25068 (MD5)
  Previous issue date: 1979",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1390,spa,,Vida Estudiantil 1979,info:eu-repo/semantics/bachelorThesis
90187255-608d-4597-bc6c-91509b25818b,20.500.11972/1377,Universidad de Montemorelos,2021-08-17T22:25:04Z,2021-08-17T22:25:04Z,1978,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-08-17T22:25:04Z
No. of bitstreams: 1
Anuario 1978.pdf: 98431869 bytes, checksum: ce534a665bc80b7006319cc328389091 (MD5)||Made available in DSpace on 2021-08-17T22:25:04Z (GMT). No. of bitstreams: 1
Anuario 1978.pdf: 98431869 bytes, checksum: ce534a665bc80b7006319cc328389091 (MD5)
  Previous issue date: 1978",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1393,spa,,Vida Estudiantil 1978,info:eu-repo/semantics/bachelorThesis
d61577c0-ac57-4089-bc6a-bee873cfcfef,20.500.11972/1377,Colegio Vocacional y Profesional Montemorelos,2021-06-30T23:18:48Z,2021-06-30T23:18:48Z,1970,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-06-30T23:18:48Z
No. of bitstreams: 1
Anuario Vida Estudiantil 1970.pdf: 114751512 bytes, checksum: 45bf2af2e6582725b4ca21f99fcd2f89 (MD5)||Made available in DSpace on 2021-06-30T23:18:48Z (GMT). No. of bitstreams: 1
Anuario Vida Estudiantil 1970.pdf: 114751512 bytes, checksum: 45bf2af2e6582725b4ca21f99fcd2f89 (MD5)
  Previous issue date: 1970",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1378,spa,,Vida Estudiantil 1970,info:eu-repo/semantics/bachelorThesis
4999b44b-e2b4-47ef-b455-f0636fb95eb3,20.500.11972/1377,Federación Estudiantil Universidad de Montemorelos,2021-08-10T22:56:43Z,2021-08-10T22:56:43Z,1976,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-08-10T22:56:43Z
No. of bitstreams: 1
Anuario- Vida Estudiantil 1976.pdf: 81224960 bytes, checksum: 52faa3452bdded4c3da64d40917a6343 (MD5)||Made available in DSpace on 2021-08-10T22:56:43Z (GMT). No. of bitstreams: 1
Anuario- Vida Estudiantil 1976.pdf: 81224960 bytes, checksum: 52faa3452bdded4c3da64d40917a6343 (MD5)
  Previous issue date: 1976",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1388,spa,,Anuario 1976,info:eu-repo/semantics/bachelorThesis
101e874e-48b2-4232-9b96-5e899fd82a81,20.500.11972/1377,Colegio Vocacional y Profesional Montemorelos,2021-07-07T14:50:18Z,2021-07-07T14:50:18Z,1971,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-07-07T14:50:18Z
No. of bitstreams: 1
ANUARIO-VIDA ESTUDIANTIL 1971.pdf: 163370299 bytes, checksum: 63e8ee583e096e21cddcda1b8cdc279b (MD5)||Made available in DSpace on 2021-07-07T14:50:18Z (GMT). No. of bitstreams: 1
ANUARIO-VIDA ESTUDIANTIL 1971.pdf: 163370299 bytes, checksum: 63e8ee583e096e21cddcda1b8cdc279b (MD5)
  Previous issue date: 1971",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1380,spa,,Vida Estudiantil 1971,info:eu-repo/semantics/bachelorThesis
5c79499c-0e16-49b1-932e-804429f1d2f3,20.500.11972/1377,Colegio Vocacional y Profesional Montemorelos,2021-07-09T16:06:17Z,2021-07-09T16:06:17Z,1972,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-07-09T16:06:17Z
No. of bitstreams: 1
ANUARIO VIDA ESTUDIANTIL 1972.pdf: 85982844 bytes, checksum: e9533886d77eccc832c065af5b1919f8 (MD5)||Made available in DSpace on 2021-07-09T16:06:17Z (GMT). No. of bitstreams: 1
ANUARIO VIDA ESTUDIANTIL 1972.pdf: 85982844 bytes, checksum: e9533886d77eccc832c065af5b1919f8 (MD5)
  Previous issue date: 1972",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1381,spa,,Vida Estudiantil 1972,info:eu-repo/semantics/bachelorThesis
6e4d59ac-df4f-4643-870f-79b086417f79,20.500.11972/1377,Universidad de Montemorelos,2021-08-11T23:31:32Z,2021-08-11T23:31:32Z,1977,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-08-11T23:31:32Z
No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1977.pdf: 82937431 bytes, checksum: 38af82a64fa88bb25cc9f9cc0154d507 (MD5)||Made available in DSpace on 2021-08-11T23:31:32Z (GMT). No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1977.pdf: 82937431 bytes, checksum: 38af82a64fa88bb25cc9f9cc0154d507 (MD5)
  Previous issue date: 1977",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1389,spa,,Vida Estudiantil 1977,info:eu-repo/semantics/bachelorThesis
e9334c87-3e8c-40ff-99ae-2f5a2d64046c,20.500.11972/1377,Asociación Estudiantil Colegio Vocacional y Profesional Montemorelos,2021-07-21T23:24:04Z,2021-07-21T23:24:04Z,1973,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-07-21T23:24:04Z
No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1973.pdf: 92691594 bytes, checksum: c7394212edfc462cf4c6e3b2b1c77284 (MD5)||Made available in DSpace on 2021-07-21T23:24:04Z (GMT). No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1973.pdf: 92691594 bytes, checksum: c7394212edfc462cf4c6e3b2b1c77284 (MD5)
  Previous issue date: 1973",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1383,spa,,Vida Estudiantil 1973,info:eu-repo/semantics/bachelorThesis
f7667242-e1e3-4971-b050-37865e54cb8e,20.500.11972/1377,Asociación Estudiantil Universidad de Montemorelos,2021-07-21T23:28:49Z,2021-07-21T23:28:49Z,1974,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-07-21T23:28:49Z
No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1974.pdf: 78064841 bytes, checksum: 7136a8fd53c73d0f5642ddc1de1f5461 (MD5)||Made available in DSpace on 2021-07-21T23:28:49Z (GMT). No. of bitstreams: 1
ANUARIO- VIDA ESTUDIANTIL 1974.pdf: 78064841 bytes, checksum: 7136a8fd53c73d0f5642ddc1de1f5461 (MD5)
  Previous issue date: 1974",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1384,spa,,Vida Estudiantil 1974,info:eu-repo/semantics/bachelorThesis
81276b73-da52-4115-a4e9-95c4f80513c8,20.500.11972/1391,Universidad de Montemorelos,2021-08-17T22:18:31Z,2021-08-17T22:18:31Z,1980,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-08-17T22:18:31Z
No. of bitstreams: 1
ANUARIO VIDA ESTUDIANTIL 1980 .pdf: 90096124 bytes, checksum: 552361cb71ee2a69306084c70a9b8e7c (MD5)||Made available in DSpace on 2021-08-17T22:18:31Z (GMT). No. of bitstreams: 1
ANUARIO VIDA ESTUDIANTIL 1980 .pdf: 90096124 bytes, checksum: 552361cb71ee2a69306084c70a9b8e7c (MD5)
  Previous issue date: 1980",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1392,spa,,Vida Estudiantil 1980,info:eu-repo/semantics/bachelorThesis
ddcb268b-f28a-49e4-8083-3ca37a1257d6,20.500.11972/1391,Departamento de Relaciones Públicas de la Universidad de Montemorelos,2021-09-03T18:03:43Z,2021-09-03T18:03:43Z,1981,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-09-03T18:03:42Z
No. of bitstreams: 1
ANUARIO VIDA ESTUDIANTIL 1981.pdf: 110872719 bytes, checksum: 33a12c40d74432368cf50b30332b9b0a (MD5)||Made available in DSpace on 2021-09-03T18:03:43Z (GMT). No. of bitstreams: 1
ANUARIO VIDA ESTUDIANTIL 1981.pdf: 110872719 bytes, checksum: 33a12c40d74432368cf50b30332b9b0a (MD5)
  Previous issue date: 1981",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1411,spa,,Vida Estudiantil 1981,info:eu-repo/semantics/bachelorThesis
02aa71b6-a405-4159-aeef-be4e404b1776,20.500.11972/1391,Universidad Autónoma de Montemorelos||,2021-09-03T18:14:09Z,,1982,,"Submitted by Nestor Ramírez (neraz@um.edu.mx) on 2021-09-03T18:14:09Z
No. of bitstreams: 1
ANUARIO-VIDA ESTUDIANTIL 1982.pdf: 129228682 bytes, checksum: bb062d84a047618b08b565cbb4c2a674 (MD5)||Made available in DSpace on 2021-09-03T18:14:09Z (GMT). No. of bitstreams: 1
ANUARIO-VIDA ESTUDIANTIL 1982.pdf: 129228682 bytes, checksum: bb062d84a047618b08b565cbb4c2a674 (MD5)
  Previous issue date: 1982",application/pdf,https://dspace.um.edu.mx/handle/20.500.11972/1412,spa,,Vida Estudiantil 1982,info:eu-repo/semantics/bachelorThesis
